customer_id,name,salutation,age,phone,email,income,class,vehicle_type,occupation,employment_type,education_level,marital_status,branch_id,city,state,address,account_open_date,is_active
1,"Rajesh Patil",Mr.,35,9876543210,rajesh.patil@gmail.com,450000.00,"Class A",4-wheeler,"Software Engineer",Salaried,Graduate,Married,1,Pune,Maharashtra,"12 Shivaji Nagar, Pune",2020-05-15,1
2,"Priya Deshmukh",Ms.,28,8765432109,priya.d@gmail.com,350000.00,"Class B",2-wheeler,Teacher,Salaried,Postgraduate,Single,12,Nashik,Maharashtra,"45 College Road, Nashik",2021-02-20,1
3,"Amit Chavan",Mr.,42,7654321098,amit.c@yahoo.com,600000.00,"Class A",4-wheeler,"Business Owner",Self-Employed,Graduate,Married,31,Aurangabad,Maharashtra,"78 Station Road, Aurangabad",2019-07-10,1
4,"Sunita Gaikwad",Mrs.,38,6543210987,sunitag@hotmail.com,280000.00,"Class B",2-wheeler,Accountant,Salaried,Graduate,Married,24,Jalgaon,Maharashtra,"23 Gandhi Chowk, Jalgaon",2022-01-05,1
5,"Vikas Pawar",Mr.,45,9432109876,vikasp@gmail.com,520000.00,"Class A",4-wheeler,Doctor,Self-Employed,Postgraduate,Divorced,25,Chalisgaon,Maharashtra,"34 Hospital Road, Chalisgaon",2018-11-30,1
6,"Neha Kulkarni",Ms.,31,8321098765,neha.k@outlook.com,380000.00,"Class B",2-wheeler,"Marketing Executive",Salaried,Postgraduate,Single,16,Amalner,Maharashtra,"56 Market Yard, Amalner",2021-09-12,1
7,"Sanjay Jadhav",Mr.,50,7210987654,sanjayj@gmail.com,750000.00,"Class A",4-wheeler,CA,Self-Employed,Postgraduate,Married,17,Yawal,Maharashtra,"89 Main Road, Yawal",2017-04-22,1
8,"Anjali More",Mrs.,36,6109876543,anjali.m@yahoo.com,420000.00,"Class B",2-wheeler,"Bank Manager",Salaried,Postgraduate,Married,28,Bhusawal,Maharashtra,"12 Railway Colony, Bhusawal",2020-08-17,1
9,"Rahul Shinde",Mr.,29,5098765432,rahul.s@gmail.com,320000.00,"Class B",2-wheeler,Engineer,Salaried,Graduate,Single,19,Dharangaon,Maharashtra,"45 Industrial Area, Dharangaon",2022-03-08,1
10,"Pooja Borse",Ms.,27,4987654321,pooja.b@hotmail.com,290000.00,"Class B",None,"Graphic Designer",Salaried,Diploma,Single,10,Pachora,Maharashtra,"67 Art Gallery Road, Pachora",2021-11-25,1
11,"Mahesh Patil",Mr.,48,3876543210,mahesh.p@gmail.com,680000.00,"Class A",4-wheeler,Professor,Salaried,Doctorate,Married,11,Parol,Maharashtra,"34 College Campus, Parol",2019-06-14,1
12,"Swati Desai",Mrs.,39,2765432109,swati.d@yahoo.com,410000.00,"Class B",2-wheeler,Pharmacist,Self-Employed,Graduate,Married,12,Bodhwad,Maharashtra,"78 Medical Street, Bodhwad",2020-04-03,1
13,"Nitin Kale",Mr.,33,1654321098,nitin.k@gmail.com,370000.00,"Class B",2-wheeler,"IT Professional",Salaried,Graduate,Single,32,Savada,Maharashtra,"23 Tech Park, Savada",2021-07-19,1
14,"Snehal Giri",Ms.,26,9543210987,snehal.g@outlook.com,250000.00,"Class C",None,"Fashion Designer",Self-Employed,Diploma,Single,14,Jamner,Maharashtra,"56 Fashion Street, Jamner",2022-05-30,1
15,"Vijay Mohite",Mr.,52,8432109876,vijay.m@gmail.com,800000.00,"Class A",4-wheeler,Businessman,Self-Employed,"High School",Married,15,Kalyan,Maharashtra,"89 Trade Center, Kalyan",2018-02-11,1
16,"Anita Thorat",Mrs.,44,7321098765,anita.t@yahoo.com,480000.00,"Class B",2-wheeler,"School Principal",Salaried,Postgraduate,Married,16,Thane,Maharashtra,"12 Education Nagar, Thane",2019-09-27,1
17,"Suresh Wagh",Mr.,47,6210987654,suresh.w@gmail.com,550000.00,"Class A",4-wheeler,Architect,Self-Employed,Postgraduate,Divorced,17,Ulhasnagar,Maharashtra,"45 Design Avenue, Ulhasnagar",2020-12-08,1
18,"Kavita Salunke",Mrs.,41,5109876543,kavita.s@hotmail.com,390000.00,"Class B",2-wheeler,"HR Manager",Salaried,Postgraduate,Married,18,Dhule,Maharashtra,"67 Corporate Road, Dhule",2021-04-15,1
19,"Ramesh Bhoir",Mr.,30,4098765432,ramesh.b@gmail.com,310000.00,"Class B",2-wheeler,"Sales Executive",Salaried,Graduate,Single,19,Panvel,Maharashtra,"23 Sales Street, Panvel",2022-02-22,1
20,"Deepa Narkhede",Ms.,32,3987654321,deepa.n@outlook.com,360000.00,"Class B",None,"Interior Designer",Self-Employed,Diploma,Single,20,Pune,Maharashtra,"78 Creative Lane, Pune",2020-10-31,1
21,"Arun Gavande",Mr.,53,2876543210,arun.g@gmail.com,720000.00,"Class A",4-wheeler,Dentist,Self-Employed,Postgraduate,Married,1,Nashik,Maharashtra,"34 Dental Care, Nashik",2019-03-18,1
22,"Meera Kolhe",Mrs.,37,1765432109,meera.k@yahoo.com,430000.00,"Class B",2-wheeler,Lawyer,Self-Employed,Postgraduate,Married,2,Aurangabad,Maharashtra,"56 Court Road, Aurangabad",2021-01-07,1
23,"Prakash Dhotre",Mr.,49,0654321098,prakash.d@gmail.com,650000.00,"Class A",4-wheeler,"Hotel Owner",Self-Employed,Graduate,Married,3,Jalgaon,Maharashtra,"89 Hospitality Street, Jalgaon",2018-07-24,1
24,"Shraddha Patil",Ms.,25,9543210987,shraddha.p@hotmail.com,240000.00,"Class C",None,"Content Writer",Salaried,Graduate,Single,4,Chalisgaon,Maharashtra,"12 Writers Colony, Chalisgaon",2022-06-09,1
25,"Vishal Tambe",Mr.,34,8432109876,vishal.t@gmail.com,380000.00,"Class B",2-wheeler,"Financial Analyst",Salaried,Postgraduate,Single,5,Amalner,Maharashtra,"45 Finance Street, Amalner",2020-11-12,1
26,"Anjali Gavit",Mrs.,40,7321098765,anjali.g@yahoo.com,470000.00,"Class B",2-wheeler,"Government Officer",Salaried,Postgraduate,Married,6,Yawal,Maharashtra,"67 Govt Colony, Yawal",2019-08-05,1
27,"Sandeep Mali",Mr.,46,6210987654,sandeep.m@gmail.com,580000.00,"Class A",4-wheeler,"Construction Contractor",Self-Employed,"High School",Married,7,Bhusawal,Maharashtra,"23 Builders Road, Bhusawal",2020-03-28,1
28,"Poonam Rathod",Ms.,29,5109876543,poonam.r@outlook.com,330000.00,"Class B",None,"Event Manager",Self-Employed,Graduate,Single,8,Dharangaon,Maharashtra,"78 Event Street, Dharangaon",2021-12-17,1
